basin,NH_NSE,GNN_NSE,improvement
33013,0.8147540847995131,0.8243869839704373,0.009632899170924247
27023,0.8713564683228541,0.8808021212470516,0.009445652924197523
45004,0.7385345455442555,0.7479547938303108,0.009420248286055366
27042,0.8650518626321008,0.8744157976099238,0.009363934977823063
84014,0.8583029985165191,0.8675809714275726,0.009277972911053478
44001,0.927155679238434,0.9363715971776264,0.009215917939192408
55025,0.8613971188949168,0.8704424212100466,0.009045302315129788
27084,0.9078902775751154,0.9168433273530456,0.008953049777930211
80003,0.7928540411124667,0.8017224779168599,0.008868436804393198
27071,0.8364073192593173,0.8452212811246566,0.008813961865339226
67010,0.8883838962339,0.8971972197780267,0.008813323544126672
28085,0.9365725730402452,0.9452591016679824,0.008686528627737222
27064,0.8827169095582958,0.891291863728183,0.008574954169887183
55018,0.8389348854280796,0.8474991815306916,0.008564296102612001
37011,0.8569888954923097,0.8655157994066941,0.008526903914384376
50008,0.8614509736187808,0.8698642172773563,0.008413243658575542
38021,0.7330976243942142,0.7414949988614543,0.008397374467240093
36012,0.8524743621128849,0.8608602888633156,0.008385926750430706
18008,0.8667242467166858,0.8750688260023807,0.008344579285694875
28043,0.8769439609419079,0.8852607226842643,0.008316761742356404
4005,0.7755508425513501,0.7838406608458132,0.00828981829446307
36003,0.8787856519316668,0.8870051653267226,0.008219513395055777
54036,0.8687419590626702,0.8769383649249911,0.008196405862320955
21012,0.8639342161596582,0.8720918942539668,0.008157678094308674
4003,0.7034529580926359,0.7115646572253924,0.008111699132756556
21017,0.8352292186700689,0.8432835275337176,0.008054308863648663
6007,0.8003994325743441,0.808435760764354,0.008036328190009878
56001,0.9174717821095952,0.92510833824011,0.007636556130514727
77004,0.8833964491493127,0.890932333408638,0.007535884259325276
53013,0.8552066059729831,0.8626496701874155,0.0074430642144323045
57009,0.9038300369317664,0.9112496023682766,0.007419565436510123
49002,0.8895633189179804,0.8969806390411014,0.007417320123121018
84008,0.8640209027359969,0.8714232923171116,0.007402389581114721
54032,0.9058063531359852,0.9131443342426896,0.007337981106704361
79005,0.9046176691342503,0.911926622603916,0.007308953469665647
22006,0.9225625382838252,0.9298536977282504,0.007291159444425266
72009,0.8850081171482566,0.892265473415537,0.007257356267280413
27065,0.8535064847402569,0.8607578463648572,0.007251361624600272
53022,0.9005480177590806,0.907729712100484,0.007181694341403477
55021,0.9268881244452132,0.93403909504849,0.007150970603276852
54057,0.8703256806370667,0.8774519025508222,0.007126221913755448
8006,0.8027512489153248,0.8098253463477807,0.007074097432455906
66004,0.9371635731482502,0.9441041126497332,0.00694053950148299
50002,0.9103664636834736,0.9172718802291128,0.0069054165456391425
25020,0.8894024150931333,0.8961890914642042,0.006786676371070888
28056,0.8902334106948699,0.8969983581784994,0.006764947483629435
47009,0.91914689073974,0.9258517301214432,0.006704839381703187
