basin,nh_nse,gnn_nse,nh_kge,gnn_kge,nh_rmse,gnn_rmse,nh_mae,gnn_mae
33029,0.9246715068770048,0.9261583431500201,0.8438891128092997,0.858221346616852,0.1716658057450352,0.16996318964209958,0.1155979214040274,0.13090169905920887
33031,0.523061740377142,0.5535996244081506,0.35482872087119166,0.42910461457816507,0.9263098904328367,0.8961640035494605,0.2524979604602511,0.27724200005946287
33032,0.8466413584404515,0.8499761193923232,0.7149823359186449,0.7230051484695299,0.07238201997158522,0.07159072653645987,0.04555823181095891,0.04236603312441018
33033,0.7816979518833109,0.7572620447248942,0.8884035329258471,0.8517844391862744,0.23826674793602648,0.25124844164578813,0.1475779529201102,0.14632872586367948
33034,0.8363542900499106,0.8262828116701088,0.8917697231469378,0.872200996645548,1.558474655493458,1.6057163424636371,0.7396537357945205,0.7802250588779288
33035,0.8828979337328671,0.8866554709543792,0.8872061940014923,0.9153425167724238,7.4134573167945526,7.293547126469734,4.09006654,4.106801120906738
33039,0.8528091698781701,0.8468873124599341,0.8848565751991445,0.921322552504303,6.18930568411529,6.312583635149231,3.095471778702929,2.982272755933333
33053,0.7529366277856611,0.767452129343308,0.6828373107632115,0.7325853228582606,0.21984151990610387,0.21328569041679254,0.12896352327945207,0.10169831414806792
33054,0.5643662671612357,0.6321007344248089,0.4537578547488762,0.49126159948145576,0.30310162741709307,0.27854282624494425,0.137392426369863,0.14289183855402482
33058,0.6627335621597843,0.7075525618616576,0.40361484844590356,0.4901303468135402,2.8851978463545382,2.6866614704399714,1.0611304894465754,0.9451063869997689
34002,0.9286931488846498,0.9456989164511901,0.7535948028479914,0.8364441284227659,0.36306083050921784,0.316823958131577,0.21240769230821915,0.16364603317621673
34003,0.8603954532621447,0.8655093436540003,0.8759578374190822,0.8726893917431615,0.24838634521507197,0.24379454974415854,0.17865160499999996,0.16737388885363347
34004,0.776807558214306,0.7821790392462424,0.801861743491475,0.8090987639039745,1.4819574170342653,1.4640159813997702,1.1868349015068491,1.1393463208054173
34005,0.8799917818586998,0.8834711840939254,0.8563653631650738,0.9027298954697881,0.17126155391408787,0.16876059705279733,0.09993902238082192,0.07718162425924338
34006,0.8800462159621141,0.8854607025526237,0.8350943531904367,0.8653500090338053,1.5355302690888122,1.5004746515169918,0.5118277734657535,0.5052977787732915
34007,0.7992208024763162,0.8336006659859939,0.6412886622589726,0.7117116076684116,0.8755156500854989,0.7970404242054986,0.2652503902027397,0.26533941704278
34008,0.6462340278288916,0.5508278189428579,0.7538239744012123,0.7059005597815817,0.06869143164052079,0.07740178296641008,0.051764504758904095,0.06234246718966609
34010,0.8361663805934658,0.8253502216696902,0.8868357452464389,0.8656748881309101,0.7737581827182434,0.7988914281305927,0.38662128158904113,0.4127514377325139
34011,0.6985149417995851,0.6784364102316252,0.8182603099900505,0.7989776117519408,0.3724031659415537,0.38460409324306205,0.2488073722272048,0.2593752088910524
34012,0.7811546664390359,0.7476186299737304,0.6790503531406589,0.6677392413177146,0.1434070325500724,0.15400345024361217,0.0893031111808219,0.10618545284518625
35003,0.49831123025515445,0.5334975843400938,0.34768087577701823,0.44839688032401737,1.105084380825093,1.0656269598488846,0.2228880623714931,0.25391903284613565
35008,0.8896314600829717,0.9020049122653613,0.7580754659940863,0.7891959427711239,0.46632433893470504,0.43940762371979664,0.16396767391917805,0.18686640718865533
36003,0.8787856519316668,0.8870051653586422,0.8137414959609515,0.8523514016131462,0.1566253032164509,0.15122173106646455,0.06499339059178082,0.06226231778983818
36006,0.8060347981463831,0.7915717087782359,0.8806754910186776,0.8408711622302072,1.8253204781087937,1.8921499420838028,0.8695499527945205,1.010257039351385
36009,0.8178326468200278,0.8304331752229472,0.7211399974503573,0.7461882443180458,0.19237873127479221,0.18560609176805937,0.06651355386717808,0.06875475158522437
36010,0.7565723503297561,0.7509272215352283,0.7213258032623346,0.6793761842935994,0.21931388118388118,0.22184226994493128,0.09699497699005687,0.1044400780625593
36011,0.761567108863911,0.8013267839200087,0.6360333102173313,0.8299013888013382,0.24878121981098675,0.2270932216781846,0.1368782959172397,0.11498209244920574
36012,0.8524743621128849,0.8608602887722636,0.7877409936941471,0.8599889745007896,0.4103236445252901,0.3984908390198588,0.20098011786027398,0.2106260830043945
37001,0.8605457302754671,0.8531004898982811,0.9088360750819735,0.9240927445119049,1.2678047620673554,1.301207759833856,0.623712564239726,0.6393265653658007
37003,0.8102190478264583,0.7700378264703582,0.8164302323012447,0.6436089654110164,0.2981796723131702,0.3282312486670417,0.1369994773808219,0.2374862600904332
37005,0.8081036141688962,0.7907829769484751,0.8748356570574761,0.8449964221499946,0.6597040287156001,0.6888334805447719,0.31230700670547945,0.31314695385440444
37008,0.8342749969042226,0.8366479459821949,0.8533236734258531,0.9065384005046979,0.7379126909128352,0.7326107070340193,0.35733835068493147,0.309217221612327
37009,0.7290245828024757,0.8257809052999125,0.5762921875722644,0.7460150577138301,0.2772086458975982,0.22227453017951204,0.1675770822780822,0.09719553386735277
37010,0.8238218122055265,0.7955952378828252,0.7902363131712002,0.7421630815332376,0.6684091717289387,0.7199657488407545,0.3301097055034483,0.3481003012853712
37011,0.8569888954923097,0.8655157993495757,0.773145011556152,0.8464923199237577,0.30807564915238045,0.2987501450604196,0.14794615564383562,0.12094767009543292
37018,0.6500617315126378,0.6808112040212395,0.5561155206978303,0.6412707214636637,0.40784414032260874,0.3895133319674884,0.12084320133150686,0.13538954755180335
37019,0.6548307938171611,0.6744681136338249,0.6374940018102284,0.790854995186154,0.36976429189354904,0.3590919873960213,0.1587616798550685,0.14099340903370997
37020,0.7124939897037628,0.7670635305445224,0.4912790805447119,0.6290112984473648,1.1484372267973928,1.0337191031903472,0.4394168640547945,0.48674998977442274
37031,0.6026355336640673,0.6258830026196756,0.48274804041672026,0.5289018852850076,0.8639747927418916,0.8383208690212081,0.1784038296821918,0.19296542172705183
37033,0.42048624110582955,0.48541686748239443,-0.009181058102186945,0.47334145667499805,0.07636909358787256,0.07196370813568015,0.0527494685790411,0.033451944483707995
38001,0.9027502636747738,0.9062773702791561,0.895247974162689,0.9312828987309402,1.8497378646887346,1.8158844240054017,1.1245784927260272,1.087176398020009
38003,0.7887107372527622,0.819333925241934,0.8582152100796672,0.8517010262729812,0.11571483926290206,0.10700119970012899,0.09068875450684931,0.0796292236096791
38004,0.8851201953804271,0.8858569434039243,0.8649055470862328,0.892796821433267,0.31364399189810543,0.3126366422155657,0.13856300634794522,0.15628501451393573
38007,0.5735820813153374,0.5668339032359595,0.5631453196537783,0.6166958454732385,0.18809828739654866,0.18958079809346134,0.08261664926859623,0.08844454535267388
38012,0.5509898762741207,0.5660156321897368,0.3703399161946701,0.5458735192005228,0.12794568670210313,0.12578667180270983,0.07663119542534247,0.0639879426239239
38014,0.7187000495369689,0.7454110131333483,0.5928090977982909,0.8436707371352774,0.1542487949213851,0.14674278537997945,0.09008763811712331,0.06760233992280458
38017,0.753323732607651,0.814132010307201,0.8453027875944944,0.9014430330258527,0.02437641891335648,0.021159652030097766,0.017513324894520548,0.01600079050833141
38018,0.853876711431155,0.8486013182029625,0.8741272450275915,0.8509781605804225,0.2983602388148227,0.30369823938161994,0.19637077010958903,0.17929027659758526
38021,0.7330976243942142,0.7414949989227075,0.6834354991337832,0.8556263101707154,0.25088597608238283,0.24690770404231135,0.12928776625575342,0.11116649127744568
38029,0.642081433603721,0.6676687269965625,0.49892151705771803,0.7901076012606427,0.2317593348341524,0.22332159844432617,0.10516874762342465,0.11168869152038609
38030,0.7818518691440381,0.7815078406597239,0.7625837301041962,0.7950756817094426,0.29697751422422375,0.2972115947876578,0.17257022582191778,0.185876397031242
39001,0.875401061726421,0.8629126837319533,0.9351858230836536,0.9045076843168197,24.71739162267714,25.92651269844391,17.62400432150685,17.206698187850066
39005,0.6994457134178739,0.6632754060732305,0.5914413917603455,0.5900031099852212,0.26914421210519646,0.28487937021821097,0.1319538383561644,0.16129514026595757
39006,0.8303003471833799,0.8573129245636449,0.7981230539796406,0.8660405217706024,1.4387682769596137,1.3192973648895772,0.7636524647123288,0.6505601630512028
39007,0.8529193063068665,0.8836457518554584,0.7757037103515546,0.8423307339317919,1.0224278456175029,0.9093811677951831,0.5616308750547945,0.46987874542558333
39010,0.4827789341778014,0.7004605533232604,0.6890877798233401,0.7721120586960182,1.6044089927826592,1.2209671985354857,1.456596884109589,1.0387072196108067
39011,0.7210834602066645,0.7936804677402608,0.6688926237880056,0.7764540233894466,1.5761886197778707,1.355630169357107,0.8635587296849314,0.5772431792080692
39012,0.47390412697588336,0.7268736467118733,0.5433726440628371,0.6895853158632106,0.629465780356413,0.45354614625860384,0.44974018809589045,0.24665102175004858
39014,0.32951053968571065,0.49248882002115735,0.5859163720098951,0.6568425753011886,0.275708909283857,0.2398709357569063,0.24864014010684932,0.20984296329365923
39016,0.6415334478731586,0.6056313055866454,0.6492333407061258,0.6156648312661372,2.070253041369029,2.1714524731382387,1.1947636201369862,1.2536496841656741
39017,0.43510624608842363,0.42172410703781216,0.6685605025664164,0.6961654498085783,0.32783094632141335,0.33169131869155855,0.07767938997843836,0.07643217548096722
39020,0.9172698005841993,0.8917226369706125,0.9052785354590548,0.8487185137353492,0.34997021944203427,0.400375864571458,0.21201208082191783,0.292594102004804
39021,0.8040310215988629,0.7883145423289453,0.8838875234104248,0.8658872328259121,1.672231594792991,1.7379939979674617,0.841564004479452,0.8001007822914296
39022,0.6475545167458086,0.7776008367975025,0.7000061799771815,0.8299425523859874,0.8356459067830441,0.6638086235221748,0.5813896934567901,0.330140725936427
39023,0.37670163926866185,-0.5868594569087571,0.5465492838317603,0.45690346598428333,0.20220808836775686,0.32264115471178095,0.16762316012328768,0.2851585201536785
39025,0.902554301747406,0.9006177398496258,0.8879763320419467,0.9151853034067731,0.48933667509548645,0.4941751074894571,0.25824323068473615,0.2712357642082016
